Date,Open,High,Low,Close,Adj Close,Volume
1996-08-01,31.625000,33.625000,28.375000,28.750000,12.842353,156043700
1996-09-01,28.375000,30.625000,28.000000,28.250000,12.619014,173817100
1996-10-01,28.500000,30.750000,28.125000,29.625000,13.286586,106918300
1996-11-01,29.875000,33.000000,29.500000,30.250000,13.566893,93981700
1996-12-01,29.750000,30.375000,28.500000,29.250000,13.118396,81162900
1997-01-01,30.000000,35.875000,28.625000,34.875000,15.701617,148516300
1997-02-01,34.625000,34.875000,31.500000,33.000000,14.857438,104815800
1997-03-01,32.750000,33.625000,30.750000,32.375000,14.576051,80031600
1997-04-01,32.500000,34.875000,31.000000,34.875000,15.757373,84301700
1997-05-01,34.500000,37.875000,34.500000,36.750000,16.604546,88870300
1997-06-01,37.625000,39.375000,35.625000,37.562500,16.971642,95284100
1997-07-01,37.562500,39.500000,34.812500,38.250000,17.339882,96625200
1997-08-01,37.812500,39.750000,34.875000,36.000000,16.319893,80888500
1997-09-01,36.000000,41.312500,36.000000,40.562500,18.388206,76705200
1997-10-01,40.062500,40.750000,33.375000,36.875000,16.771008,90252500
1997-11-01,36.875000,38.437500,35.250000,36.875000,18.221964,47502500
1997-12-01,37.375000,38.187500,34.125000,36.250000,17.913103,74263400
1998-01-01,36.312500,37.750000,34.187500,36.125000,17.913877,63583200
1998-02-01,36.312500,37.062500,34.312500,36.500000,18.099813,86440800
1998-03-01,36.750000,43.875000,36.250000,42.687500,21.168121,92789400
1998-04-01,42.437500,44.812500,38.375000,39.687500,19.741972,86090600
1998-05-01,39.750000,41.500000,37.375000,40.812500,20.301582,85359900
1998-06-01,40.625000,42.750000,40.062500,41.187500,20.488113,53249900
1998-07-01,41.500000,43.750000,37.000000,38.937500,19.429028,113929700
1998-08-01,38.812500,39.750000,27.562500,27.875000,13.909056,99719100
1998-09-01,29.750000,33.500000,28.000000,29.437500,14.688710,89328200
1998-10-01,29.375000,37.000000,29.000000,33.750000,16.909945,92701900
1998-11-01,34.250000,40.187500,34.187500,38.687500,19.383801,70446500
1998-12-01,39.000000,41.625000,36.625000,40.875000,20.479816,71601400
1999-01-01,40.625000,42.562500,37.500000,39.000000,19.605202,76144500
1999-02-01,38.812500,40.250000,37.000000,37.562500,18.882578,63075100
1999-03-01,38.437500,41.062500,36.187500,39.187500,19.699459,95486800
1999-04-01,39.187500,41.437500,36.125000,36.937500,18.631414,105988100
1999-05-01,36.937500,38.687500,34.062500,35.500000,17.906336,93483300
1999-06-01,35.937500,38.937500,35.000000,38.687500,19.514107,76467500
1999-07-01,38.437500,41.500000,37.312500,38.937500,19.714785,66356700
1999-08-01,38.687500,39.250000,33.812500,34.125000,17.278131,75016600
1999-09-01,34.062500,34.875000,30.250000,30.500000,15.442726,79877800
1999-10-01,30.375000,35.125000,30.125000,34.687500,17.633606,80252000
1999-11-01,34.437500,37.125000,32.062500,34.562500,17.570042,79052900
1999-12-01,34.312500,37.750000,33.812500,35.250000,17.919548,93996500
2000-01-01,35.375000,38.625000,33.187500,34.125000,17.411283,95170300
2000-02-01,34.000000,35.125000,32.125000,32.125000,16.390846,84131900
2000-03-01,32.000000,36.062500,29.687500,34.875000,17.793951,106743700
2000-04-01,34.625000,38.312500,34.625000,36.687500,18.801603,68836700
2000-05-01,36.437500,41.125000,36.125000,40.687500,20.851530,84691100
2000-06-01,40.437500,44.546875,39.312500,44.437500,22.773333,93465700
2000-07-01,43.875000,46.250000,39.687500,45.812500,23.558432,79396900
2000-08-01,45.187500,47.062500,41.187500,42.640625,21.927341,65498400
2000-09-01,42.500000,47.125000,41.312500,46.000000,23.654831,53764500
2000-10-01,46.625000,49.250000,44.375000,48.437500,24.990133,86172700
2000-11-01,48.312500,49.437500,43.312500,45.375000,23.410118,90211000
2000-12-01,45.875000,49.937500,41.500000,49.562500,25.570564,109797300
2001-01-01,49.375000,49.500000,42.250000,44.070000,22.809095,99386800
2001-02-01,43.669998,48.790001,42.750000,46.080002,23.849405,84004800
2001-03-01,45.500000,47.099998,40.250000,43.950001,22.746998,89355600
2001-04-01,43.700001,44.959999,40.900002,43.810001,22.744047,90490900
2001-05-01,44.250000,46.610001,43.590000,44.759998,23.237238,74911200
2001-06-01,44.759998,45.820000,43.080002,44.200001,22.946516,77161600
2001-07-01,44.349998,47.650002,44.299999,46.630001,24.285280,84405100
2001-08-01,46.639999,47.709999,43.599998,47.000000,24.477972,155979100
2001-09-01,47.340000,49.799999,45.759998,48.500000,25.259192,138978300
2001-10-01,48.939999,50.000000,46.869999,48.709999,25.446560,112170000
2001-11-01,48.450001,50.459999,47.740002,48.630001,25.404770,79831800
2001-12-01,48.529999,49.799999,46.450001,48.689999,25.436117,81435600
2002-01-01,48.500000,50.119999,47.430000,50.090000,26.246016,89718200
2002-02-01,49.750000,51.200001,47.599998,50.500000,26.460829,84313100
2002-03-01,50.939999,51.990002,48.869999,51.500000,26.984814,80560000
2002-04-01,51.650002,53.500000,49.880001,51.900002,27.272879,90370200
2002-05-01,51.950001,53.230000,50.029999,51.980000,27.314913,79577700
2002-06-01,51.700001,52.180000,47.209999,48.200001,25.328568,86108100
2002-07-01,48.290001,49.130001,35.009998,42.939999,22.630041,192827300
2002-08-01,42.939999,45.209999,38.849998,39.549999,20.843447,139704500
2002-09-01,39.549999,41.400002,34.000000,36.950001,19.473219,130733200
2002-10-01,37.009998,45.160000,35.590000,44.099998,23.332464,162968200
2002-11-01,43.750000,45.299999,40.799999,42.480000,22.475363,95409700
2002-12-01,42.490002,43.970001,40.310001,42.220001,22.337807,96262600
2003-01-01,42.119999,44.060001,38.580002,40.480000,21.492346,89522900
2003-02-01,40.279999,41.900002,37.849998,38.320000,20.345524,88179900
2003-03-01,38.470001,41.500000,36.240002,40.000000,21.237499,99398800
2003-04-01,40.000000,43.619999,38.060001,43.279999,23.070765,109792500
2003-05-01,43.169998,44.599998,42.380001,44.200001,23.561178,75311600
2003-06-01,44.720001,45.500000,43.099998,44.500000,23.721109,76526600
