Date,Open,High,Low,Close,Adj Close,Volume
1992-06-01,10.125000,10.531250,9.843750,10.500000,4.909984,7098400
1992-07-01,10.531250,11.093750,10.406250,10.937500,5.114568,7243600
1992-08-01,10.937500,10.937500,10.500000,10.750000,5.026889,5311200
1992-09-01,10.781250,11.375000,10.718750,11.312500,5.323059,5789200
1992-10-01,11.312500,12.093750,10.875000,11.437500,5.381876,8353600
1992-11-01,11.406250,11.718750,11.250000,11.500000,5.411284,5755600
1992-12-01,11.500000,12.031250,11.312500,11.750000,5.561931,6929200
1993-01-01,11.750000,12.281250,11.625000,12.062500,5.709851,9258400
1993-02-01,12.031250,13.156250,12.031250,13.093750,6.197999,8307200
1993-03-01,13.125000,13.968750,13.000000,13.406250,6.379367,8500400
1993-04-01,13.468750,13.531250,12.375000,12.843750,6.111701,10653200
1993-05-01,12.812500,13.468750,12.781250,13.250000,6.305017,6172000
1993-06-01,13.312500,13.656250,11.437500,11.781250,5.634955,15696400
1993-07-01,11.781250,11.843750,10.875000,11.125000,5.321072,11754400
1993-08-01,11.125000,12.156250,11.093750,12.125000,5.799370,13477600
1993-09-01,12.125000,12.968750,12.125000,12.468750,6.001590,8792800
1993-10-01,12.437500,13.687500,12.437500,13.250000,6.377629,7499600
1993-11-01,13.281250,13.593750,12.687500,12.718750,6.121926,9018800
1993-12-01,12.750000,12.843750,12.156250,12.250000,5.929943,8242000
1994-01-01,12.218750,12.406250,11.781250,12.062500,5.839181,9457600
1994-02-01,12.062500,13.375000,11.906250,12.812500,6.202237,11056800
1994-03-01,12.875000,12.906250,11.437500,11.593750,5.645558,12301200
1994-04-01,11.531250,11.687500,10.812500,11.156250,5.432517,8210400
1994-05-01,11.187500,11.187500,10.406250,10.750000,5.234696,11463200
1994-06-01,10.750000,11.375000,10.500000,10.843750,5.317232,12612800
1994-07-01,10.906250,10.968750,10.281250,10.593750,5.194642,9288400
1994-08-01,10.531250,12.000000,10.375000,12.000000,5.884196,16411200
1994-09-01,11.875000,11.875000,10.968750,11.250000,5.554745,7002000
1994-10-01,11.312500,12.125000,11.125000,11.812500,5.832482,8507200
1994-11-01,11.750000,12.093750,11.468750,11.687500,5.770761,10291600
1994-12-01,11.750000,12.406250,11.625000,12.093750,6.012817,9481600
1995-01-01,12.093750,12.500000,12.093750,12.218750,6.074964,7769200
1995-02-01,12.281250,12.937500,12.093750,12.250000,6.090501,12928000
1995-03-01,12.281250,13.093750,12.000000,12.781250,6.396415,11635600
1995-04-01,12.750000,13.531250,12.718750,13.125000,6.568450,10090800
1995-05-01,13.156250,13.187500,12.531250,12.906250,6.458973,10372800
1995-06-01,12.875000,13.968750,12.750000,13.812500,6.955879,9126800
1995-07-01,13.750000,14.468750,13.406250,14.406250,7.254882,8752400
1995-08-01,14.375000,15.187500,14.125000,15.000000,7.553896,8826800
1995-09-01,14.937500,16.218750,14.937500,16.093750,8.154454,9331600
1995-10-01,16.062500,16.968750,14.937500,14.937500,7.568599,13247600
