name,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
"			Non Current Deferred Taxes Liabilities","9,022,000,000","9,679,000,000","10,201,000,000","10,152,000,000","10,536,000,000","11,462,000,000","11,878,000,000","12,202,000,000","14,039,000,000","20,848,000,000","21,497,000,000","340,000,000","662,000,000","138,000,000","1,594,000,000"
"			Non Current Deferred Revenue","1,321,000,000","1,374,000,000","1,424,000,000","1,477,000,000","1,534,000,000","6,000,000",,,,,,,,,
"		Non Current Accrued Expenses",,,,,,,,,,,,,,,"117,000,000"
"		Employee Benefits","131,000,000","135,000,000","143,000,000","144,000,000","205,000,000","243,000,000","273,000,000","306,000,000","427,000,000","2,038,000,000","2,405,000,000","4,504,000,000","3,485,000,000","5,492,000,000","117,000,000"
"			Non Current Pension And Other Post-Retirement Benefit Plans","131,000,000","135,000,000","143,000,000","144,000,000","205,000,000","243,000,000","273,000,000","306,000,000","427,000,000","2,038,000,000","2,405,000,000","4,504,000,000","3,485,000,000","5,492,000,000","117,000,000"
"		Preferred Securities Outside Stock Equity",,,,,,"0","0","3,000,000","6,000,000","0","23,000,000",,,,
"		Other Non Current Liabilities","1,434,000,000","1,306,000,000","1,418,000,000","1,609,000,000","1,542,000,000","1,745,000,000","1,459,000,000","902,000,000","1,088,000,000","806,000,000","752,000,000","338,000,000","428,000,000","405,000,000","641,000,000"
"Total Equity Gross Minority Interest","41,789,000,000","49,325,000,000","49,722,000,000","48,870,000,000","49,452,000,000","50,243,000,000","51,749,000,000","51,778,000,000","66,076,000,000","57,574,000,000","66,236,000,000","4,365,000,000","5,187,000,000","3,572,000,000","16,588,000,000"
"	Stockholders' Equity","41,664,000,000","49,185,000,000","49,526,000,000","48,678,000,000","49,298,000,000","50,103,000,000","51,623,000,000","51,657,000,000","65,863,000,000","57,358,000,000","66,005,000,000","4,365,000,000","5,187,000,000","3,572,000,000","16,588,000,000"
"		Capital Stock","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","8,332,000,000","0","0","0","0"
"			Preferred Stock",,,,,,,,,,"0","8,320,000,000",,,,
"			Common Stock","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","0","0","0","0"
"		Additional Paid in Capital","51,287,000,000","52,135,000,000","52,037,000,000","51,834,000,000","53,379,000,000","55,096,000,000","56,828,000,000","58,723,000,000","58,634,000,000","58,593,000,000","58,375,000,000","4,678,000,000","4,434,000,000","4,240,000,000","0"
"		Retained Earnings","-4,629,000,000","2,171,000,000","1,367,000,000","489,000,000","-1,682,000,000","-2,694,000,000","-3,060,000,000","-4,853,000,000","8,495,000,000","588,000,000","0","1,045,000,000","1,281,000,000","-206,000,000","0"
"		Treasury Stock","2,636,000,000","2,218,000,000","1,286,000,000","847,000,000","587,000,000","344,000,000","271,000,000","282,000,000","224,000,000","207,000,000","31,000,000","796,000,000","29,000,000","2,000,000","0"
"		Gains Losses Not Affecting Retained Earnings","-2,370,000,000","-2,915,000,000","-2,604,000,000","-2,810,000,000","-1,824,000,000","-1,967,000,000","-1,886,000,000","-1,943,000,000","-1,054,000,000","-1,628,000,000","-671,000,000","-562,000,000","-499,000,000","-460,000,000","-125,000,000"
